Name of the NGO,Name of the  Project,Project Site,Donor Agency,Approved Amount of External, Approved  Amount of  Internal ,Project  Sector
Rural Selfreliance Development Centre,"Enhancingfood security, livelihoods andresilience of communities in Bajhang district of Nepal.",Bajhang.,"FASTENOPFERSwiss Catholic Lantern Fund, wuest@fastenopf er.ch, Ph:41412275945","2,340,000.00",,Humanright/ food security
Rural WomenCreative Forum,"Advocacyand awareness program against human trafficking, slavery and gender based violence.",Sindhupalchowk.,Free The SlaveUSA.,"3,396,250.00",,Women/Children/Educa tion
RuralWomen's Development and Unity Centre (RUWDUC),"Promoteconflict resolution and peace building in Nepal through local level dispute resolution, project no.31770.110","Doti,Dadeldhura& Kailali.","The AsiaFoundation and McConnell Foundation, Baluwatar, Kathmandu.","858,300.00",,Justice
Ruwon StarChildren'sHome,Support torun RUWON star children's home in Kathmandu.,Kathmandu,"StellaStar,Sweden","2,200,500.00",,Child home
Saathi,Strengthening the organizations of urbans poor homebased workers for greater visibility and participation in City Governance.,"Kathmandu,Lalitpur & Bhaktapur.","HomeNet SouthAsia Trust, India.","4,620,520.00",,Women
Saathi,Promotinggender based violence free society.,"Banke,Kanchanpur, Kapilvastu & Kathmandu.","Foundation OpenSociety Institute(FOSI), USA.","6,832,649.52","4,078,699.20",Women
Sagol,Transformational development.,"Kaski,Myagdi, Baglung, Tanahun, Nawalparasi, Banke, Bardiya, Surkhet, Salyan, Jajarkot, Kailali, Kanchanpur.",Tear Netherlandsand Tear FundAustralia.,"9,358,000.00","76,000.00",Community development
Sagun,Partnershipfor sharing happiness movement with Mangaltar People.,Kavrepalanchowk.,"Earth Tree -Japan, Japan. Email: harmony@wllink. com.np","903,740.00",,Community development
Sahamati,Citrus MarketDevelopment in Nawalparasi District.,Nawalparasi,"Lutheran WorldFederation Nepal, Kathmandu. npm.lwr@lwf.org. np","2,639,253.00",,Economic
Sajha SikchyaE-Paati,Improvingaccess to quality basic education through ICT- integrated classes- phase II,"Baglung,Banke & Solukhumbu, Chitwan, Kavre,","Embassy ofFinland, Kathmandu,","19,874,830.00","2,862,559.00",Education
Sajha SikchyaE-Paati,One LaptopPer Child (OLPC) shares model.,Bajhang.,"Un World FoodProgram, Lalitpur,","13,029,335.00",,Education
Sakriya Sath,Nepalieditions of: Elgar elephant and enzo's 1st birthday blanca andthe search for the missing letters.,Kathmandu,"Dr. ChristineTipper, Swiden","93,540.00",,Child
Samaj UtthanYuwa Kendra,Life schoolcentre capacity building project.,Dhanusha,"DFE - DanishForestry Extension, Denmark.","34,442,100.00",,Education
SamajikSamanata Abhiyan,Action ofenhance social security services for promotion rights of children affected by AIDS (ASPRC).,Kanchanpur,European UnionDelegation toNepal.,"10,690,119.67","562,637.88",Child
SambhavNepal,Schoolsupport program2070 by Sambhav Nepal.,"Gorkha,","Nepal SchoolProject Fund, Sydney Australia, Alan Waldon and Richard Jackson and Local Donations.","1,366,985.00",,Education
SambhavNepal,Schoolsupport program2070 by Sambhav Nepal.,"Gorkha,","Rotary OverseesAid Fund, Nepal School Project Fund, Sydney Australia, Alan Waldon and Richard Jackson and Local Donations.","941,610.00",,Education
Sambhawana,Civic schools.,Kathmandu,"AccountabilityLab, USA.","178,000.00","20,000.00",Education
Sambhawana,Green YouthCutizens.,Kathmandu,"Asociatia TinerilorFormatoripentru Promovarea Dezvoltarii Rurale (ATFPDR), Romania.","950,400.00","237,600.00",Youth
SamrakshakSamuha Nepal (SASANE),ParalegalTraining program.,Kaski,"Give 2 Aisa, USA.www.give2asia.or g, Twitter@give2asi a","800,000.00",,Women
SamrakshakSamuha Nepal (SASANE),Survivorsproject to development survivors of trafficking skill in dignified jobopportunities.,"Kathmandu,Lalitpur & Bhaktapur.","PlaneterraInternational Foundation, Canada.","2,125,000.00",,Women
SamrakshakSamuha Nepal (SASANE),Legal trainingfor trafficking women,"Kathmandu,Lalitpur, Bhaktapur","United NationsVoluntary Trust Fund on Contemporary Forms of Salavery, Switzerland.","900,000.00",,Women
SamuhikAbhiyan,Training onclimate change and community based adaptation planning.,"Bara,Bhaktapur, Bhojpur, Dhankuta, Dhanusa, Dolakha, Ilam, Jhapa, Kathmandu, Kavrepalanc howk, Khotang, Lalitpur, Mahottari, Morang, Nuwakot, Okhaldhung a,Panchthar, Ramechhap, Rasuwa, Rautahat, Sankhuwasa bha, Saptari, Sarlahi, Sindhuli, Sindhupalch owk, Siraha, Solukhumbu,Sunsari,","AsianDevelopment Bank, Philipines.nmame rasinghe@adb.or g","38,391,039.00","779,709.00",Environment
SamuhikAbhiyan,Capacitybuilding and training of Non- Government implementing agencies.,"Terhathum,Okhaldhung a, Khotang, Baglung, Parvat, Nawalparasi, Rupandehi, Dang, Salyan, Pyuthan, Bajhang.","Multi StakeholderForestry Programme, Support Unit (SSU) acting through the Embassy of Switzerland in Nepal.","13,153,320.00","346,140.00",forestry
SamuhikAvhiyan,Third partymonitoring in forestry sector inmainstreamin g Gender and Social Inclusion (GESI).,"Okhalghunga, Ramechhap& Khotang.","Multi-StakeholderForestry Programme (MSFP), Nepal.","3,530,675.00","866,450.00",Forestry
Sangril - LaAssociation,Jumlacommunity development program.,Jumla,"GovindaDevelopment aid Association, Aalen, Germany.","19,763,039.93",,Community development
SanjiwaniPublic Health Mission Nepal,SajiwaniPublic Health Mission Nepal.,Kaski,"Chris Hitching,Treasure (Australia incorporated Association, Australia)","2,327,234.00","100,000.00",Health/Edu/Awareness
Sano Sansar,Sano SansarChildren Home and Conservation,Kathmandu,"PetitmonFoundationPrivada, Spain","4,875,000.00",,ChildrenHome
SarvodayaShramadana Nepal,Teach forNepal.,Lalitpur &Sindhupalch owk.,"Sarvodaya USA,","1,500,000.00",,Education
Sathi SansarNepal,Specialeducation rehabilitation and inclusive services.,Kaski,"Sathi SansarBarcelona, Spain.","4,600,000.00","117,560.00",Health
Sathi SansarNepal,Specialeducation rehabilitation and inclusive services.,Kaski,"Sathi SansarBarcelona, Spain.","4,600,000.00","117,560.00",Health
Sathi,FundingLeadership and Opportunities for Women (FLOW).,Banked,"BreakthroughInstitute, India. Www.breakthrou gh.tv., twitter@breakthro ugh","17,090,700.00",,Women
Sathi,StopTravelling Sex Offenders in Nepal (STOSO).,Kathmandu,"Terre DesHomes, Netherlands.","14,251,700.00",,Women
Sathi,Project ofshelter home for girls in Kathmandu Valley.,Lalitpur,"Mr. Jean-MichelPeny, President Smart Pharma Consulting, France.","6,707,296.85",,Women
Sathi,Saathi CKshelter home for girls in Kathmandu Valley.,Lalitpur,"Mrs. Carolineprovost, president, Crystal Kids, Paris.","4,183,733.72",,Women
Sathiko SathNepal,Sathiko SathNepal Hostel.,Lalitpur,"Sathiko SathFoundation, TheNetherlands.","4,784,324.00",,Education
Sathiko sathNepal,Sathiko sathNepal hostel.,Lalitpur(Gairigau),"Sathiko sathFoundation, TheNetherlands","7,762,000.00",,Education
Save BlessingChild Home,Child home,Lalitpur,Glass WaterFoundationCanada.,"4,860,000.00",,Child
Save OurSisters Kaski,Save oursisters Kaski.,Kaski,"1, CooperationHumanitarian Luxembourg. 2, A77 Associaziole, Italy 3, Chance Swiss. 4, BONO Germany.","33,488,404.80","175,000.00",Women/Child/Youth
Save TheSangri-la Foundation,Childreneducation sponsorship/li brary/books.,Kathmandu,"Gianni Caineli,Italy, cainelligianni@lib ero.it","1,346,625.00","241,596.00",Chilld/Education
Save TheShangri - La Foundation,Childreneducation sponsorship/li brary/books.,Kathmandu,"Gianni Caineli,email: cainellingianni@li bero.it","1,346,625.00","241,596.00",Education
Sawm Nepal,"A briefproposal on flood disaster assessment relief in the District of Darchula, Dailekh and Kanchanpur, Nepal.","Darchula,Dailekh andKanchanpur.","World Society forthe Protection of Animals, Bangkok.","500,000.00",,Animalhealth
SayapatriSociety,Issue andchallenges of higher secondary education.,"Syangja,Kaski, Tanahun, Myagdi, Parbat, Palpa, Baglung, Gorkha, Lamjung, Kailali, Jhapa, Chitwan.","Foundation OpenSociety Institute (FOSI), Switzerland.","1,551,350.00",,Education
SEED (Nepal),Virkharkdrinkingwater project.,Makawanpur,"SEED America,USA.","816,000.00","504,000.00",Water
Self-helpGroup for Cerebral Palsy,Outreachprogramme and home visit programme.,Taplejung &Kathmandu.,"StichtingMahamata, The Netherlands, lindascheppink@ kpnplanet.nl","815,995.40","259,332.60",women/Child
Self-helpGroup for Cerebral Palsy,Outreachprogramme and home visit programme.,"Tanahun,Ramechhap, Rupandehi & Kathmandu.","Stitching HollandBuilding, The Netherlands, c.reijnders@hetn et.nl","1,200,000.00","11,594.00",women/Child
Self-helpGroup for Cerebral Palsy,Specialeducation program.,Lalitpur,"SaraswotiFoundation, Switzerland, Christine.stingelin@eblcom.ch and Stitching Lillian Funds, Holland.slf@janvi kassamiti.org.","5,319,250.78","384,786.42",women/Child
Self-helpGroup for Cerebral Palsy,Cerebralpalsy rehabilitation center.,Lalitpur,"Lion;s Club,Germany. Email: ggross@gmx.net. And A heart for children, Germany. email: winnie.schlueter@bild.de","2,996,059.50","384,772.50",women/Child
Self-helpGroup for Cerebral Palsy,Balmandircare center.,Kathmandu,"Didi Dai, Spain.mnnzpablo@gma il.com.","60,003.14","79,996.86",women/Child
Self-helpGroup for Cerebral Palsy,Outreachprogramme.,Kavre &Dhankuta.,"SiddharthaFoundation, Germany. christinadidi@t- online.de","537,426.12",773.88,women/Child
Self-helpGroup for Cerebral Palsy,Mobile Team.,Lalitpur.,"Lion;s Club,Germany. Email:ggross@gmx.net.","1,662,450.00","3,982.00",women/Child
Self-helpGroup for Cerebral Palsy,"Sand pit,musicale instrument, vegetable garden.",Lalitpur,"Sony and Noha,Canada","126,630.00",990.00,women/Child
Self-helpGroup for Cerebral Palsy,Outreachprogramme.,Nawalparasi,"Dr. DeepuMirchadani, Canada. Mirdeepu@gmail. com.","215,900.00","13,900.00",women/Child
Self-helpGroup for Cerebral Palsy,Home visitprogramme.,Kathmandu,"Rebecca Fritz,Australia, rebecca.fritz@gm x.net","192,330.72","29,169.28",women/Child
Serve Nepal,Rest &Recovery program - phase 1 & enhancement fundprogram.,Lalitpur.,"SA FoundationCalgary, Canada.","5,417,404.80",,Women
Serve Nepal,Rest &Reintegration- phase I &phase - III,Lalitpur.,"SA FoundationCalgary, Canada.","4,089,892.20",,Women
Service Centerfor Bright Future,Child home.,Kathmandu,"InternationalHuman Dana, Italy, email: ihd.onlus@yahoo. it","405,000.00",,Child home
Service Centerfor Bright Future,Child home.,Kathmandu,"InternationalHuman Dana, Italy.","945,000.00",,Child home
ServlifeHimalayan Development,Religionaleducational development.,"Kailali,Bardiya, Banke, Surkhet, Dang, Palpa, Sindhupalch owk,Sindhuli, Udayapur, Dhankuta, Panchthar, Ilam, Jhapa, Morang, Sunsari, Saptari, Kathmandu, Rautahat, Makawanpur, Nawalparasi& Lalitpur.","Serve LifeInternational Inc, USA.www.servfile.org.","4,669,262.00",,Education
Seto GuransChild Development Service,SupportingFamilies and Youth for Promoting Rights of the Children in the Slum areas (SFYPROCS),Rupandehi,"European UnionDelegation to Nepal, Kathmandu","10,172,927.16","615,732.84",Women/Children/Educa tion
SetuCommunity Development and Human Right Forum (SCDHRF),Increasedawareness of human rights in Saptari District.,Saptari,"Foundation OpenSociety Institute (FOSI), Switzerland.","1,198,300.00",,Humanrights
Setu Nepal,Program forchild education and welfare.,Lalitpur,"Laurel Leak,Australia andSETU Nepal, UK.","1,241,560.00",,Child
Seven WomenNepal,"Empoweringwomen through skills trainings, employment and education.",Kathmandu& Nuwakot,"Seven Women,Australia.","3,098,300.00",,Women
Sewak Mitra,Sponsorship program for children infected and affected by HIV and AIDS.,Kanchanpur& Baitadi.,"Serving Friends International, South Korea.","3,500,000.00",,Health(HIV/AIDS)
Shakti MilanSamaj,Operation of crisis care center for HIV/AIDs infected women & children.,Kathmandu,"Asian Child Support, Japan.","1,020,000.00",,Health(HIV/AIDS)
Shakti NepaliGirls (Empower Nepali Girls),Scholarshipfor Girls.,"Kathmandu,Solukhumbu, Lamjung, Bhaktapur & Chitwan.","Empower NepaliGirls, USA.","4,410,190.95",,Education
Shangri-La-Orphanage,"Shangri-La-La Orphanage, child development and education.",Lalitpur &Kathmandu.,"GovindaDevelopment Aid Association, Aalen, Germany.25571067","25,571,067.00",,Child home
ShantiEducation Initiative Nepal,Educationaldevelopment program.,Lalitpur,"AustrianMountain Association, Small Earth Australia, All Diyafa School and Ursula Staijek.","966,826.00","256,355.00",Education
ShantiEducation Initiative Nepal,"Shantisikhsya abhiyan digopan pariyojana,",Kathmandu,"Shanti SchoolProject, USA.","3,882,637.00",,Education
Shanti Griha,Proposal forthe safety and expansion of the education system in the community of Bandipur asa contribution to the stabilizationof sustainable educational environment and income generating opportunities.,Tanahun,KinderhilfswerkDritte Welt e.v.Germany.,"5,467,363.00","1,291,500.00",Education
Shanti Nepal,Strengthening PrimaryHealth Care& Resource Centre (PHCRC).,Lalitpur,"EvangelicalLutheran Church in America ( ELCA), USA.","438,750.00",,
Shanti Nepal,CommunityHealth and Empowerme nt Project ii (CHEP-II).,Dhading,"1. TEAR Australia2. CEDAR, HongKong.","9,950,267.00",,Health
Shanti Nepal,Strengthening Comuity Health Clinic (CHC).,Makawanpur,"United Mission toNepal Hospitals' Endowment Trust (UMNHET), UK. And Dr. Desmond J. Soares, Australia.","582,070.00",,Health
Shanti Nepal,Strengthening Comuity Health Clinic (CHC).,Makawanpur,"United Mission toNepal Hospitals' Endowment Trust (UMNHET), UK. And Dr. Desmond J. Soares, Australia.","582,070.00",,Health
Shelter 108Fund Nepal Baudha 6,Shelter 108Fund.,Kathmandu,Shelter 108e.v.Germany.,"3,960,000.00",,Child/Health/Education
ShikshantarOutreach Program,Education forall.,Kathmandu,"Savita Doshi,Jane TordoffMarks.","266,518.00",,"Education/Health, women/Just ice"
Shristi Nepal,Child home,Lalitpur,"a. Mehala Child &Family, Italy, www.mehala.org, info@mehala.org. b. Helping Hands, USA.","4,090,800.00",,Child home
SiddhiMemorial Foundation,Buildingextension of Siddhi Shaligram Briddharshar nm.,Bhaktapur,NepalhilfeBeilngries e.v.Germany.,"13,820,070.25","199,277.00",Elderlyhome
SiddhiMemorial Foundation,Establishment of Pediatric Intensive Care Unit (PICU) AT Siddhi Memorial Hospital (SMH).,Bhaktapur.,"TurkishInternational Cooperation and Coordination Agency (TICA), Turky.","4,500,000.00","1,320,002.00",Health(child)
SiddhiMemorial Foundation,Regularoperational support and scholarship program.,Bhaktapur,"A. Nobel HouseFoundation, The Netherlands. B. Freres De Nos Freres, Switzerland, C. Nepalhilfe Beilngries, Germany.","13,394,206.50","89,293.50",Health/Education
SmallMammals Conservation and Research Foundation,"Mamata,Child Care Trust for land buying.",Lalitpur,GenerocityChurch Inc. Australia.,"613,000.00",,Child
Sneha Samaj,Essentialpackage of care service for women living with HIV in Lalitpur District.,Kathmandu,FHI360 Nepal.,"5,696,248.00",,Women
SocialAwareness and Multipurpose Development Alliance,Childrenbase environment education program (children - BEEP).,Kathmandu,"Children BEEPsStotteforening, Norway.","2,380,000.00","181,500.00",Environmen t/Child/Healt h/Education
SocialAwareness and Multipurpose Development AllianceNepal (SAMDAN),ChildEducation Support Program (CESP).,Kathmandu,"Martin BorlandOystese, Norway.mystese@gmail.com,","1,243,200.00",,Education
SocialAwareness Development Group,"Awareness raising on Sexually Transmitted Diseases (STD), HIV & AIDS, Sanitationand nutrition throughThrea tre For Development (TDF) show.",Jhapa &Morang.,"World Food Program Nepal, Nepal.","710,110.00",,Health(HIV/AIDS)
SocialConsciousnes s & Action Network - Nepal (Scan- Nepal),Educationand child home,Lamjung.,Schongau SouthGermany.,"5,034,930.00","342,000.00",Education/child home
SocialEducational and Environmental Development Foundation (Seed Foundation),Buildingconstruction of elderly home.,Kaski,"Christophe MSchwemmer, Switzerland.","813,960.00","594,786.52",Elderlyhome
SocialEducational,Educationand health.,Kathmandu& Gorkha.,Seeds America.,"12,441,900.00","1,064,000.00",Education/Health
Social ScienceBaha Lalitpur.,Study on thework in freedom: transnational evaluation.,"Palpa,Dolakha, Ilam, Rupandehi & Morang.","London School ofHygiene and Tropical Medicine, UK.","3,374,144.00",,Humanright/Wome n
Social ScienceBaha Lalitpur.,"Trends inmigration, urbanization and their effects on tropical forest- dependent communities.",Kathmandu,"Center forInternational forestry Research, Indonesia.","1,732,800.00",,
Social ScienceBaha Lalitpur.,Servicedelivery effectiveness in conflict - affected situations.,Kathmandu,"The World Bank,Kathmandu.","4,866,750.00",,Conflictvictims
Social ScienceBaha Lalitpur.,Circularlabour migration as an adaptation strategy in context of environmenta l and socio economic changes inthe Koshi Sub-basin in Nepal.,Kathmandu,"InternationalCentre for Integrated Mountain Development, Lalitpur.","4,016,000.00",,Environment/community development
Social ScienceBaha,Study oflabour and mobility.,Kathmandu,"Foundation toPromote OpenSociety, USA.","26,125,000.00",,Young/Human rights
Social Voyage -Nepal,ImprovedOven Support Project.,Dhading,"Fardel Stephane,Swiss.","330,000.00","20,600.00",Environment
Social WorkInstitute (SWI),Capacitybuilding for small NGOs and CBOs.,"Banke,Bardiya, Jumla, Kalikot & Tanahun.","DKA, Austria.","13,644,000.00",,Incomegenerating/ Health
Social WorkInstitute,Support forsocial work training.,75 district.,"1.WilhelminenstraB e, Australia. 2. DKA Australia.","19,285,690.00",,Community development
Social,Edcuation,Makawanpur,"SEEDSAMERICA, USA.","720,000.00","430,000.00",Education
Societ forUrban Poor (SOUP),Nyun ayebhayeka sadak byapariharuk o lagi arthik sasaktikaran karyakram.,Kathmandu,"CoreInternational, Kathmandu.","1,140,000.00",,Women/Child/Education/Halth/Envir onment
Society forConservation,Gaurishankar2013 - God's water for people.,Dolakha.,"Explora NunaatInternational, Italy.","2,035,600.00",,Health
Society forenvironment conservation & Agricultural Research & Development,Project formarket promotion of organic products (MPOP).,Dhading &Nuwakot.,"ZukunftsstiftungEntwicklung, Germany.","4,438,750.00","69,000.00",Agriculture
Society forHumanism (SOCH) Nepal,Breakingtraditions.,"Kailali,Morang, Bhairahawa, Saptari & Kathmandu.","HEF/HAMU,Norway, tel:+4723156047, email: hamu@human.no. POB:6744 St. Olavs plass, N-0130 Oslo, Norway","4,803,350.00",,Women
Society forHumanism (SOCH) Nepal,GlobalAlliance against untouchability: Uniting the world for the common dignity of all humans.,Kathmandu,"InternationalHumanist and ethical Union (IHEU), London.","1,408,000.00",,Dalit
Society forLegal and Environmental Analysis and Development Research,Investigationof the effectiveness of natinal clean cookstoves program in Nepal in reducing acute respiratory tract infection in £ 5 children.,Kavre,"NationalAcademy fo Sciences (NAS),USA.","14,673,050.00",,Health
Society forSolidarity of Children,"HelpingHands of Unemployed young person"": Service support for unemployed youth and empowered the women economically by providing them skillful training",Kathmandu,"Otto-per-Mile,email:8xmile@chiesava ldese.org","1,918,698.00","37,211.00",Women andYouth
SocioEconomic Welfare Centre for Energetic Women,CommunityDevelopment Project (Empowerme nt),"Kathmandu,Bhaktpur, Lalitpur, Dhading, Nuwakot & Gorkha","Canhelp,Australia","889,500.00",,Children
SocioEconomic Welfare Centre for Energetic Women,OtherEducational Project for Communtiy Children.,"Kathmandu,Bhaktpur & Dhading.","Canhelp,Australia","440,000.00",,Children
SocioEconomic Welfare Centre for Energetic Women,ChildSponsorshipProgram.,"Kathmandu,Bhaktpur, Lalitpur, Dhading, Nuwakot & Gorkha.","Canhelp,Australia,","2,207,700.00",,Children
Soiya MahilaSwabalambi Santha,School lunchand organic learning center.,Rupandehi.,"School Life inNepal (Skoleliv I Nepal), Denmark.","8,044,975.00",,Education
SonrisaOrphanageNepal,"Child home,free mobile climic, environmenta l awareness.",Kathmandu.,"FrancescaPacchiano, Carol Ann Courneya, David Dune, Sachiko Kojima, Rachel So, Dune Rowlby Bayard Mossor, Donald Louis Melady, Elisabeth, Feurhelm, Guiomar Perea- Rendon Guillo, Caroline Anne, Malcolm Moore, Wendy Moore.","3,626,284.00",,Child/health/Environme nt
South AsiaWatch on Trade Economics and Environment (SAWTEE),To conductperception survey of exporters/imp orters of select itemsin relation to non-tariff measures (NTMs) on trade between Nepal and India.,Kathmandu,"World Bank,South Asia Regional Integration, USA.","2,444,400.00",,Trade
South AsiaWatch on Trade,Tradepromotion through standardisati on in the South and South East Asia Regions (SESA) 2013-2014.,Kathmandu,"SIS SwedishStandardsInstitute, Sweden.","2,130,000.00",,Tradepromotion
South AsiaWatch on Trade,Researchand Dialogue for Nepal's Enhanced Trade (REDNET).,Kathmandu,"GermanInternational Cooperation (GIZ), Eschborn, Germany. Giz- nepal@giz.de","6,019,500.00","634,000.00",Research
South AsiaWatch on Trade,Sixth SouthAsian training programme on CGE modelling.,Kathmandu,"Centre for WTOStudies, India.","1,936,000.00",,Research
South AsiaWatch on Trade,"""Betterharnessing the export potential of ginger for Nepal through addressing specific non- tariff measures"".",Kathmandu,"The AsiaFoundation, Kathmandu.","3,887,520.00",,Agriculture
South AsiaWatch on Trade,"South AsiaRegional research forum, South Asia Regional social media training and Oxfam South Asia JRAS annual planing.",Kathmandu,Novib (OxfamNetherlands).,"2,970,245.00",,Media
South AsiaWatch On Trade,Learningevent on how change happens through WIN,Kathmandu,"Oxfam GB,Bangladesh, Dhaka.","2,924,685.00",,Community development
South AsiaWatch on Trade,Publicexpenditure tracking and budget demystificatio n in Nepal :With particular reference to health sector PRAN).,Kathmandu.,"Centre forInternational Studies Cooperation (CECI), Kathmandu.","4,095,000.00",,Health
South AsiaWatch on Trade,Trade andtransport facilitation audit in south Asia.,Kathmandu,"Aus AID,Australia.","43,519,956.48",,Environment
South AsiaWatch on Trade,Conduct anawareness and training programme on intellectual property rights.,Kathmandu,"GermanInternational Cooperation (GIZ) Eschborn, Germany.","2,189,550.00",,Humanrights
South AsianTrust,Using mediato promote regional peace and development.,Lalitpur,"Royal NorwegianEmbassy, Kathmandu.","57,235,653.00","29,690,483.50",Peacemaking
SparshaNepal,"Solarelectrification through solar sisters program of Arkhaulay Health Post, Khotang District.","Lalitpur,Kathmandu, Banke & Sunsari.",GIZ Nepal.,"905,000.00",,Health
SparshaNepal,Developmentof HCV manual and providing training on HCV to service provider in Nepal.,"Lalitpur,Morang, Bank, Kathmandu, Dharan & Chitwan.","GIZ Nepal,","596,700.00",,Health
SparshaNepal,Mobile healthclinic (Under GIZ harm reduction local subsidy support).,Kathmandu,"GIZ Nepal,Sanepa, giz- nepal@giz.de","664,175.00",,Health
SparshaNepal,Mobile healthclinic (Under GIZ harm reduction local subsidy support).,Kathmandu,"GIZ Nepal,Sanepa, giz- nepal@giz.de","664,175.00
214",,Health
Spinal InjurySangh Nepal,Enhancetraining employment and income generating opportunities for people with spinal cord injury.,Kavre,Livability UK.,"810,000.00",,Health
SrongtsenBhrikuti Social& Culrural Upliftment Association,Purchase ofNew Ambulance Van.,Kathmandu,"Kunz Treuhand,<j.kunz@kunztre uhand. Ch","1,181,400.00",,Health
Star ChildrenKaski Nepal,Star childrenchild home,Kaski,"Stichting StarChildren, Netherlands.","3,727,500.00",,Child home
STD/AIDSCounseling and Training Service (SACTS),"Integratedtreatment, care, support and FP services for FSWs,clients of FSWs and PLHIV in Kathmandu and Lalitpur District.",Kathmandu& Lalitpur.,"Family HealthInternational (FHI360), Nepal.","22,503,523.64",,Health
Student HelpNepal,Educationalsupport and scholarship program.,"Solukhumbu,Ramechhap, Kavre, Sindhupalch owk, Dhading, Dolakha, Chitwan, Gorakha & Kathmandu.",StichtingStudentenen Musahar Project Nepal.,"3,712,500.00",,Education
StudentProject Nepal,Computertraining.,Kathmandu,"StichtingStudenten Musahar Project Nepal, Netherlands.","634,500.00","40,000.00",Education
StudentProject Nepal,Computertraining,Kathmandu,"Stitching StudentMusahar Project, Netherland.","512,000.00","42,000.00",Education
SunauloParivar Nepal,Transformingaccess to safe medical abortion through a piolot M- helath sustem in Nepal.,"Surkhet,Tanahun, Gulmi & Argakhanchi.","Safe AbortionAction Fund, International Planned Parenthood Federation, UK.","14,254,444.00",,Health/Women
Sundar DhokaSaathi Sewa,"Rehabilitationcare project, supporting people with disability, scholarship and kitchen equipment.",Lalitpur,CMS Ireland.,"2,203,200.00",,Child/Health/Education/ Disable
Sundar DhokaSaathi Sewa,Childrenheart and rehabilitation care project.,Lalitpur,"Samaritan'spurse International Relief,","8,927,377.00",,Child/Health/Disability
SupportActivities for Poor Producers of Nepal (SAPPROS - Nepal),RuralCommunity Infrastructure Work(RCIW).,"Achham,Bajhang, Bajura, Darchula, Dolpa & Mugu.","World FoodProgram (WFP), Lalitpur.","23,706,373.00",,Food
Support Groupfor Participatory (Prerana),Women'sleadership programme in Nepal.,Lalitpur,OxfamG.B.Germany.,"5,144,980.00",,Women
Support Groupfor Shelter (LUMANTI),InfluencingWASH policy through the promotion of WASH. Education andempowermen t of womenled grass root organizations.,Kathmandu,"FreshwaterAction NetworkGlobal, UK.","828,750.00",,Women/Child/Health
Support Groupfor Shelter (LUMANTI),Joint activityof Nepal WASH + Alliance.,Kathmandu,"WASTE, Simavi,Water Harvesting Implementation Network Foundation (RAIN).","3,814,925.00",,Women/Child/Health
Support Groupfor Shelter (LUMANTI),"Secondphase of Asia Coalition for Communities Action(ACCA) - community upgrading project in Dharan, Nepal.",Dharan,"Asian Coalitionfor HousingRights, Thailand","880,000.00",,Women/Child/Health
Support Groupfor Shelter (LUMANTI),Secondphase of community - led settlementimprovement program in Thecho.,Lalitpur,"Asian Coalitionfor HousingRights, Thailand","1,320,000.00",,Women/Child/Health
Support Groupfor Shelter (LUMANTI),"Secondphase of Asia Coalition for Communities Action(ACCA) - community upgrading project in Ratnanagar, Nepal.",Chitwan,"Asian Coalitionfor HousingRights, Thailand","880,000.00",,Women/Child/Health
Support Groupfor Shelter (LUMANTI),Secondphase of community- led settlementimprovement programmein Thankot.,Kathmandu,Asian Coalitionfor HousingRights.,"3,960,000.00",,women/Child/Health
Support Groupfor Shelter (LUMANTI),"""Youthmobilization to empower the urban poor community for sustainabledevelopment""",Morang,UN Habitat YouthFund Initiative.,"2,125,000.00",,Women/Child/Eudcation/Youth
Support Nepal,Support toinclusive and accountable peace (SIAP).,"Okhaldhunga, Udaypur, Dolakha, Ramechhap, Sindhuli, Saptari,Sirah a,Dhanusha, Mahottarai & Sarlahi.","FederalDepartment of Goreign Affairs (FDFA), Nepal.","26,862,846.50","2,860,000.00",Peacebuilding
Surya SocialService Society,Vehiclesupport,Jumla,"APEIRON, ItalianVoluntary Association, Kathmandu.","1,000,000.00","1,400,000.00",Women
Surya SocialService Society,NamasteJumla,Jumla,"APEIRON, ItalianVoluntary Association, Kathmandu.","2,506,900.00",,Women/Incomegenerat ion
SuswasthaNepal,Acupunctureasthai sibir sanchalan.,"Makawanpur, Kavre & Bhaktapur.","AcupunctureRelief Project, USA.andrew@ac upanctureReliefPr oject.org, www.Acupancture ReliefProject.org.","2,500,000.00",,Health
Tarai HumanRights Defenders Alliance (THRD - Alliance),"Monitoring,Documentati on and litigation of human rights violations in the Terai.","Mahottarai,Dhanusa, Sarlahi, Rautahat, Bara, Parsa, Siraha, Saptari, Sunsari, Morang, Nawalparasi, Rupandehi, Kapilvastu, Banke,Kailali & Kanchanpur.","FederalDepartment of Foreign Affairs FDFA, Switzerland.","17,749,160.00","1,536,520.00",Humanrights
Team Nepal,Little angel'schildren home operation.,Sindhupalchowk,"a. Parasal TahoeChanging Lives Nepal, b. Earth Garden Foundation Australia Limited, Australia.","620,000.00","5,000.00",Child home
Team Nepal,Little angel'schildren home construction.,Sindhupalchowk,Draiocht-NUIG.Ireland.,"5,893,100.00",,Child home
Technical &Skill Development Centre for Blind & Disabled,Administrative cost for six months.,Kathmandu,"a, VeraFoundation, The Netherlands. B. Dr. M.hogwege, Netherlands.","944,350.00",,Disable/Health
