District,Name of NGO in Nepali,Name of NGO in English,Acronym,Address,Telephone,Fax,Email,Website,Office Mobile,Contact Person,Working Sector
Palpa,सुदृढ जीवन स्तरका लागि चेतना अभियान ,Attensive Campaign For Ammended Lifestandard,,"Tansen-4, Makhantole",NA,NA,NA,,NA,NA,NA
Palpa,जनचेतना युवा क्लब ,Janachetana Youth Club,,Bougha pokharathok-1,075-690641,,jycpalpa@gmail.com,,9857060570,Major Singh K.C,"human rights, awareness"
Palpa,वातावरण तथा पर्यटन प्रवर्धन समूह ,Group For Environment and Tourism Upgrading,,"Tansen-8, Bhagwatitole",075-521341,NA,NA,,NA,NA,NA
Palpa,बाल बिकास समाज सुधार केन्द्र,Child Development Social Improvement Centre,,"Gothadi-8, Jagat",075-520091,NA,NA,,NA,NA,NA
Palpa,बाल अधिकार संरक्षण मञ्च,Child Rights Protection Forum,,"Darchha-1, Rajghara",NA,NA,NA,,NA,NA,NA
Palpa,सुर्य किरण युवा समाज,Surya Kiran Yuwa Samaj,,"Gechha-9,Bardale",075-522610,NA,NA,,NA,NA,NA
Palpa,माथागडी ग्रामीण समाज सुधार सेवा समूह,Matha Gadhi Rural Society Improvement Service Group,,Gothadi-4,057-210898,NA,pschetauda@gmaol.com,,NA,NA,NA
Palpa,नव प्रतिभा समाज,Nava Prativa Samaj,,"Galdha-8, Thulo Galdha",NA,NA,NA,,NA,NA,NA
Palpa,समाज उत्थान सहयोग केन्द्र,Social Rise Help Centre,,"Devinagar-3, palpa",075-690567,,srhcdevinagar@hotmail.com,,9857060170,Sukunraj Bika,"agriculture, water, education"
Palpa,ग्रामीण युवा क्लब ,Rural Youth Club,,"Khaliban-7,Aarwasing",NA,NA,NA,,NA,NA,NA
Palpa,श्री जन उत्थान परिषद,Shree Public Welfare Council,,"Gandakot-4, Bhalayatar",NA,NA,NA,,NA,NA,NA
Palpa,उत्पीडित उत्थान विकास केन्द्र ,Libretion of Oppressed Development Centre,,"Tansen, Silkhantole",075-521957,,,,9847068428,Siru Pd Gautam,"health, environment"
Palpa,जनसेवा युवा समूह ,Shree Janasewa Youth Group,,"Jalpa-7, palpa",9847029549,,,,9747021141,Rajendra Laxmi Gaire,"agriculture, education, health, infrastructure"
Palpa,बालविकास समाज सुधार केन्द्र ,Centre for Child Development and Society Improvement,,"Devinagar-2, palpa",075-690567,,balu.srhe@gmail.com,,9847028013,Bal Bd Thapa,"empowerment,  "
Palpa,कुसुम सिर्जनशील युवा समूह,Kusum Innovative Youth Group,,Kusumkhola-1,075-521333,NA,NA,,NA,NA,NA
Palpa,देउराली विकास केन्द्र,Deaurali Development Centre,,"Deaurali-1, palpa",05-6900424,,ddc11@gmail.com,,,Kabiraj Adhikari,"education,  "
Palpa,चेतनशील सेवा समाज,Conciousness Service Society,,"Tansen-5, Taksartole",9847059528,NA,NA,,NA,NA,NA
Palpa,महिला कल्याण समूह,Women Welfare Group,,"Masyam-1, Hatiya",9847045900,NA,NA,,NA,NA,NA
Palpa,जनसेवा परिषद ,Public Service Council,,"Gandakot-9, Gajabandi",NA,NA,NA,,NA,NA,NA
Palpa,बाल विकास समाज सुधार केन्द्र ,Child Development Social Improvement Centre,,"Jhadeba-2, Devgir",075-694115,NA,NA,,NA,NA,NA
Palpa,दिप ज्योती संयुक्त युवा क्लब,Deep Jyoti Joint Youth Club,,Mityal-3,NA,NA,NA,,NA,NA,NA
Palpa,पूर्वि पाल्पा बाल केन्द्र पाल्पा,Eastern Palpa Children Centre,,"Tansen-3, Bhimsen Tole",075-520710,NA,NA,,NA,NA,NA
Palpa,सर्वाङ्गिण विकास कार्यक्रम,Whole Development Program,,"Tasen-8, Bhagawati Tole",075-520416,NA,NA,,NA,NA,NA
Palpa,रामपुर एकिकृत विकास समाज,Rampur Integrated Development Society,,Rampur-4,075-529411,NA,NA,,NA,NA,NA
Palpa,हाम्रो विकास केन्द्र,Hamro Bikas Kendra,,"Tansen-11, Kajipauwa",074-521423,NA,NA,,NA,NA,NA
Palpa,शान्ति नेपाल,Peace Nepal,,"Hungi-2, palpa",,,,,9847078592,Ganesh Regmi,
Palpa,संगम बाल मञ्च,Sangam Children Forum ,,"Madan Pokhara-8, Sangam Tole",9857060248,NA,NA,,NA,NA,NA
Palpa,अध्ययन तथा अनुसन्धान समूह,Study and Research Group,,Tansen-4,075-521341,NA,NA,,NA,NA,NA
Palpa,सामुदायिक विकासका लागि सहयोग अभियान,Helping Campaign for Social Development ,,"Tansen-15, Asantole",9847029899,NA,NA,,NA,NA,NA
Palpa,शिशु स्याहार तथा महिला विकास कार्यक्रम,Child Care and Women Development Programme,,Tansen-4,075-521574,NA,NA,,NA,NA,NA
Palpa,शताब्दी युवा क्लब,Mellinium Youth Club,,"Chhahara-5,Amalabas",9747004750,NA,NA,,NA,NA,NA
Palpa,जन ज्योती युवा क्लब,Jana Jyoti Yowa Club,,"Deurali-5, Masar",075-521763,NA,NA,,NA,NA,NA
Palpa,"जीवन यापन समूह, नेपाल","Livlihood Group, Nepal",,"Tansen-4, Bishalbazar",9847020790,NA,NA,,NA,NA,NA
Palpa,नारायण युवा क्लब,Narayan Youth Club,,"Tansen-2, Narayansthan",9847029951,NA,NA,,NA,NA,NA
Palpa,नागरिक विकास मञ्च ,Civil Development Forum,,"Tansen-4, Kajipauwa",075-520992,NA,NA,,NA,NA,NA
Palpa,नेपाल दलित कल्याण संस्था ,Nepal Dalit Welfare Organization,,"Tansen-3, Laharepipal",9847043170,NA,NA,,NA,NA,NA
Palpa,दलित मानव अधिकार संगठन ,Dalit Human Rights Organization,,"Tansen-6, Basantapur",9847043113,NA,NA,,NA,NA,NA
Palpa,स्थानीय महिला अग्रसरता विकास केन्द्र ,Local Women Leading Development Centre,,"Tansen-4,Silkhantole",9847029302,NA,NA,,NA,NA,NA
Palpa,शान्ति र विकासका लागि युवा ,Peace and Development for  Youth,,"Tansen-4,Silkhantole",9847028133,NA,NA,,NA,NA,NA
Palpa,प्रगतिशील युवा क्लब ,Progressive Youth Club,,Hungi-4,9847067169,NA,NA,,NA,NA,NA
Palpa,श्रीकृष्ण गण्डकी युवा क्लब  ,Shree Krishna Gandaki Youth Club,,"Hungi-3, Singaha",9847068199,NA,NA,,NA,NA,NA
Palpa,न्यूस्टार युवा क्लब ,New Star Youth Club,,"Satyawati-9, Itiya",9847046981,NA,NA,,NA,NA,NA
Palpa,न्यूस्टार युवा क्लब ,New Star Youth Club,,"Siddheswor-7, Saune",075-690258,NA,NA,,NA,NA,NA
Palpa,अन्धकार मुक्ति समाज ,Darkness Eradicate Society,,"Rampur-1, Bijayapur",061-691453,NA,NA,,NA,NA,NA
Palpa,सामुदायिक उत्थान पद्धतिका लागि मञ्च ,Forum for Community Upliftment System,,Tansen-3,NA,NA,NA,,NA,NA,NA
Palpa,समाज विकास स्रोत केन्द्र ,Social Development Resourve Centre,,"Siluwa-4, Lakhanchowk",9847028173,NA,NA,,NA,NA,NA
Palpa,ग्रामीण स्रोत विकास केन्द्र ,Rural Resource Development Centre,,"Tansen-8, Bhagwatitole",9847029572,NA,NA,,NA,NA,NA
Palpa,शान्तिका लागि अभियान ,Campagin for Peace,,"Tansen-8,Municipality",075-522236,,,,9847059654,Sunita Sharma,training
Palpa,नव प्रतिभा साँस्कृतिक मञ्च ,Nava Prativa Cultural Forum,,"Mityal-3, Muthabas",078-621250,NA,NA,,NA,NA,NA
Palpa,सामाजिक सक्रीय समूह ,Social Active Team Nepal,,"Tansen-2, Narayansthan",9847069205,NA,NA,,NA,NA,NA
Palpa,ग्रामीण विकास युवा क्लब ,Rural Development Youth Club,,"Daurali-3, Palpa",075-690424,,rdycpalpa@yahoo.com,,9847112898,Shamsher Saru,
Palpa,सुनौलो भविष्य बाल हेरचाह केन्द्र,Golden Future Children Care Centre,,"Tansen-15,Silkhantole",075-521915,NA,NA,,NA,NA,NA
Palpa,वातावरण तथा स्वास्थ्य विकास केन्द्र ,Environment and Health Development Centre,,Tansen-5,075-520929,075-520467,,,9847059528,Yadevraj Pokheral,"health, environment"
Palpa,साहित्य तथा स्वास्थ्य प्रतिष्ठान ,Academy For Literature and Health ,,"Tansen-1, Maindhara",9847029316,NA,NA,,NA,NA,NA
Palpa,सिर्जना आमा समूह ,Srijana Aama Samuha,,Tansen-1,075-690959,NA,NA,,NA,NA,NA
Palpa,दलित जागरण मञ्च ,Dalit Jagaran Forum,,Tansen Municipality,075-520487,075-521364,dalitgagaran@yahoo.com,,9747026434,Bishnu Bd Bomrel,inclusion
Palpa,छहरा सामुदायिक विकास केन्द्र ,Chhahara Community Development Centre,,,,,,,,,
Palpa,सिर्जनशील युवा विकास मञ्च ,Forum of Innovative Youth Development,,,,,,,,,
Palpa,सामाजिक स्रात विकास केन्द्र ,Social Resource Development Centre Nepal,,Tansen Municipality,075-521626,075-521626,srdcn@wlink.com,,9847029782,Kaushal Raj Ghimire,
Palpa,सृजनशिल यूवा मञ्च ,Shreejanshil Youth Forum,,"Somadi-6, Palpa",075-6690439,,sjan_shil@yahoo.com,,9857060881,Laxman Hitang,"awareness, girls trafficking"
Palpa,सामाजिक स्रोत विकास केन्द्र ,Social Resource Development Centre,,Hulangdi,075-521626,075-521626,srdcn@wlink.com.np,,9847029782,Kaushalraj Ghimire,"water, empowerment"
palpa,भैरव दर्शन सजिवन उर्जा प्रर्वर्दन ,Bhairab Darshan Sajiwan Energy Promotion,,Tansen-5,075-522687,,ramraut2002@gmail.com,,9857060335,Keshab Karki,farming
palpa,क्यारियर ग्रुप नेपाल ,Career Group Nepal,,Tansen-4,,,careergroupnepal@gmail.com,,9847069386,Dhan Bd Ruchal,"education, health, training"
palpa,ग्रँमिण आर्थिक विकास संघ ,Rural Economic Development Association,,"Tansen-4, Bishalbazar",075-520365,075-521610,reda_plp@ntc.net.np,,9857060474,Chet Bd Karki,"livestock, water,"
Palpa,सूर्यकिरण यूवा समाज ,Surya Kiran Yuwa Samaj,,"Gejha-9, palpa",075-522610,075-521920,skysamaj.nepal@gmail.com,,9847225130,Madhav Pd Ghimire,"empowerment, health, education"
palpa,महिला कल्याण संघ ,Women Welfare Association,,"Tansen, palpa",075-520824,075-520824,,,9847099800,Kasika Gaire,"empowerment, income generation"
Rupendehi,ग्रमीण महिला उत्थान संघ ,Rural Women Upliftment Association,,"Siddhartha Nagar-12, Prahari tole",071-520611,,NA,,,Shakuntala Barma,NA
Rupendehi,सामाजीक जागरण तथा विकास मञ्च नेपाल (फोसाड),Forum of Social Awareness and Development ,,"Butawal-8, Durga Mandir Line",071-546733,,NA,,,Purusottam Ghimire,NA
Rupendehi,ग्रामीण विकास तथा विकास संगठन ,Rural Development and Development Organization,,"Butawal, Shantipath",071-541347 and 540545,,NA,,,NA,NA
Rupendehi,लुिम्वनी यूवा ग्रामीण विकास समाज,Lumbini Youth Rural Development Society,,"Siddhartah Nagar-9, Bhanu Path",071-522812,,NA,,,Romlal Giri,NA
Rupendehi,सेतो गुराँस बाल विकास सेवा,Seto Gurans Child Development Service,,"Sukhkhanagar-10,bhuwaneswori Marg",9847027896,,NA,,,Rukmani Gyawali,NA
Rupendehi,अनाथ तथा असाहय महिला कल्याण समाज ,Orphan and Helpless Women Welfare Society,,"Aanandaban-1, Manigram",071-560012,,NA,,,Maina Devi Bhandari,NA
Rupendehi,एकिकृत विकास प्रतिष्ठान ,Integrated Development Trust,,Butawal-10,NA,,NA,,,NA,NA
Rupendehi,राष्ट्रिय वातावरण संरक्षण र विकास संस्था नेपाल ,National Environment Preservation and Development Institution Nepal,,Butawal-10,9847027032,,NA,,,Kul Pratap Singh,NA
Rupendehi,इन्द्रेणी ग्रामीण विकास केन्द्र,Indreni Rural Development Centre,,"Butawal-6, Ujursingh Path",071-696435,,NA,,,Bishnu Gautam,NA
Rupendehi,मिलीजुली समाज बिकास केन्द्र,Milijuli Social Development Centre,,Butawal-5,,,NA,,,NA,NA
Rupendehi,श्रृजनशील समाज नेपाल,Creative Society Nepal,,"Butawal-6, Sangampath",071-550126 071-540245,,NA,,,Geeta Bhat,NA
Rupendehi,सिदार्थ ग्रामीण बिकास समाज,Siddhartha Rural Development Society,,"Karahiya-8, Manigram",071-562554,,NA,,,NA,NA
Rupendehi,लुम्बिनी शिक्षा विकास समाज,Lumbini Education Development Society,,"Butawal-11, Indrapuripath",9847034035,,NA,,,Aananda Man Singh Shakya,NA
Rupendehi,ज्योतिनगर क्षेत्र बिकास परिषद,Jyotinagar Area Development Council,,Butawal-5,,,NA,,,NA,NA
Rupendehi,बाल सम्पर्क केन्द्र,Child Contact Centre,,"Butawal-11, Milanpath",071-541747,,NA,,,Radheshyam Bhandari,NA
Rupendehi,लुम्बिनी एकिकृत विकास केन्द्र नेपाल,Lumbini Integrated Development Centre Nepal,,"Siddharthanagar Municipality-8, B.P. Path",071-521513,,NA,,,NA,NA
Rupendehi,नयॉ जिवनको लागि हातेमालो कार्यक्रम,Naya Jiwan Ko Lagi Hatemalo Karyakram,,"Butawal -11, Siddhartha path",071-546124,,NA,,,Shailendra Gautam,NA
Rupendehi,समाज सचतेन समुह,Social Conscious Group,,Siddharthanagar-7,,,NA,,,NA,NA
Rupendehi,पलकेस वहुउद्देश्यीय जनहित केन्द्र नेपाल,Palkes Multipurpose Public Welfare Centre Nepal,,"Mangalapur, Kahariya-2",071-560474,,NA,,,Tham Gurung,NA
Rupendehi,छात्रवृत्ति अक्षय कोष – २०५४,Schoolarship Fund 2054,,"Butawal-11, Milan Chowk",9847034023,,NA,,,Madhav Aryal,NA
Rupendehi,ग्रामीण सामुदायिक बिकास केन्द्र,Rural Community Development Centre,,"Butawal-10, Sukhkhanagar",071-543536,,NA,,,Dil Bahadur Karki,NA
Rupendehi,श्रृजनशील युवा मञ्च,Creative Youth Forum,,"Siddharthanagar-12, Narayanpath",9857020100,,NA,,,Jiwan Aryal,NA
Rupendehi,दिदी बहिनी समाज नेपाल,Sisters Society Nepal,,"Aanandaban-3, Manigram",,,NA,,,NA,NA
Rupendehi,स्वच्छ ग्रामीण वातावरण समाज,Safe Rural Environment Society,,"Aanandaban-1, Manigram",,,NA,,,NA,NA
Rupendehi,वातावरणीय सचेतना तथा कानुनी जन सरोकार मञ्च,Forum For  Environmental Awareness and  Legal Public Concern ,,"Butawal-6, Sukhkhanagar",071-549785,,NA,,,NA,NA
Rupendehi,नेपाल जुरिष्ट सोसाइटी,Nepal Jurist Society,,Butawal-6,NA,,NA,,,Jiwa Narayan Adhikari,NA
Rupendehi,एक्सन नेपाल,Action Nepal,,Siddharthanagar-12,NA,,NA,,,NA,NA
Rupendehi,"अनुसन्धान, अन्तक्र्रिया, प्रशिक्षण तथा सेवा कार्य दल (रिट्स नेपाल)","Working-group On Research, Interaction, Training and Service Nepal",,"Butawal-10, Bhanupath",NA,,NA,,,NA,NA
Rupendehi,बहुउद्देश्यीय बिकास सेवा संस्था,Multipurpose Development Service Institute,,"Siddharthanagar-12, Shantinagar",071-552358,,NA,,,NA,NA
Rupendehi,नेपाल राष्ट्रिय दलित समाज कल्याण संघ,Nepal National Dalit Society Welfare Association,,"Bhirahawa, Naya Bus Park",,,NA,,,NA,NA
Rupendehi,लुम्बिनी एकिकृत विकास समाज (लिड्स) नेपाल,Lumbini Integrated Development Society,,"Butawal-10, Sukhkhanagar",071-549530,,lidsbtl@yahoo.com,,,Khag Raj Sharma,NA
Rupendehi,फ्रेण्ड्स सर्भिस काउन्सिल नेपाल,Friends Service Council Nepal,,"Makahar-8, Mrigauli",071-622575,,NA,,,Surya Bd. Thapa,NA
Rupendehi,ग्रामीण महिला उत्थान संघ,Rural Women Upliftment Association,,"Siddharthanagar-12, Prahari Tole",,,NA,,,NA,NA
Rupendehi,वातावरण अनुसन्धानको लागि प्राविधिक इकाइहरुको राष्ट्रिय संगठन (नेचर),National Association Of Technical Units For Research On Environmental ,,Butawal-11,071-540494,,NA,,,Khet Raj Dahal,NA
Rupendehi,विकासका लागि सूचना तथा संचार अभियान (इम्मोड नेपाल),Information and Communication Campagin for Development ,,"Butawal-11, Gauripath",071-545932,,NA,,,Basanta Raj Khanal,NA
Rupendehi,वुटवल हिल पार्क परिषद,Butawal Hill Park Council,,"Butawal-9, Deep Nagar",9847027170,,NA,,,Bhoj Pd. Shrestha,NA
Rupendehi,जागरणका लागि सञ्चार अभियान,Communication Campagin for Awareness,,NA,,,NA,,,Indira Aryal,NA
Rupendehi,बिकल्प नेपाल,Alternate Nepal,,Dev Daha-7,,,NA,,,NA,NA
Rupendehi,"द्वन्द्व पीडित बालबालिका संरक्षण मञ्च, नेपाल",Nepal Care Forum for The Aggrieved Children Of Conflict ,,Butawal-10,071-543572,,NA,,,Ram Kumar Shreshta,NA
Rupendehi,नेपाल वातावरण पत्रकार संघ,Nepal Environment Journalisam Association,,Butawal-11,071-543171,,NA,,,D. R. Ghimire,NA
Rupendehi,ग्रामिण विकास तथा स्वावलम्बन केन्द्र ,Centre For Rural Development and Self Help,,"Rupendehi-11, Bank Coloni",071-521417,,NA,,,NA,NA
Rupendehi,बुटवल साहित्य कला साँस्कृतिक प्रतिष्ठान,Butawal literature Art Cultural Trust,,Butawal-8,071-545154 and 071-542243,,NA,,,NA,NA
Rupendehi,नुवाकोट विकास समिति,Nuwakot Development Committee,,"Butawal-10, Dovan",071-541060,,NA,,,NA,NA
Rupendehi,महिला मञ्च नेपाल,Women Forum Nepal,,"Butawal-15, Belbas",071-450145,,NA,,,Madhu Kala Kunwar,NA
Rupendehi,वातावरण बचाउ आन्दोलन,Environment Save ,,"Siddharthanagar-8, Narayanpath",071-521003 and 071-520678,,NA,,,NA,NA
Rupendehi,समाज विकास प्रतिष्ठान,Social Development Trust,,"Karahiya-8, Jagritinagar","071-562294, 071-560772",,NA,,,Yagya Gaire,NA
Rupendehi,गौतम बुद्ध प्रज्ञा प्रतिष्ठान,Gautam Buddha Pragya Trust,,Butawal-10,NA,,balbahadur_achary@yahoo.com,,,Bal Bahadur Acharya,NA
Rupendehi,नमूना एकीकृत विकास परिषद,Namuna Integrated Development Council,,"Siddharthanagar-8, Barmelitole",071-527205,,gyanupd@yahoo.com,,,Gyanu Paudel,NA
Rupendehi,पिछडिएका जनजाति विकास मंच,Forum For The Development Of Backward People,,"Debadaha-6, Bangali",071-77249,,NA,,,Babu Ram Pyasi,NA
Rupendehi,सामुदायिक स्वास्थ्य विकास केन्द्र नेपाल ,Community Health Development Centre Nepal,,Aamawa-4,071-54813,,NA,,,NA,NA
Rupendehi,नयाँ जीवनको लागि हातेमालो कार्यक्रम ,Naya Jievanko Lagi Hatemalo Karekarm,,"Butawal-11, Siddharthapath",071-546124,,pnlnepal@ntc.net.np,,,Shailendra Gautam,NA
Rupendehi,पश्चिमाञ्चल बहिरा तथा सुस्त श्रवण संघ,Western Association Of The Deaf And Hard Of Hearding,,"Butawal-8, Traffic Chowk",9847147913,,janakalyan@wilnk.com.np,,,Pitambar Lamsal,NA
Rupendehi,टिकुलीगढ युवा क्लव,Tikuligadha Youth Club,,"Tikuligadhi-9, Banakatti",071-560023,,NA,,,Shovakar Chapagain,NA
Rupendehi,सिर्जनशिल महिला अधिकार संस्था,Creative Women Rights Organization,,Shankarnagar-9,9847209103,,NA,,,Sulochana Nepal,NA
Rupendehi,प्रकोप व्यवस्थापन केन्द्र,Centre For Disaster Management,,"Butawal-13, Kalikanagar",9857027113,,cdm_nepal@yahoo.com,,,Gopal Pd. Pandey,NA
Rupendehi,"सामाजिक विभेद विरुद्ध ऐक्यबद्धता मञ्च, नेपाल ",Forum For The Solidarity Against Social Discrimination Nepal,,Butawal-10,9849027048,,NA,,,Yamu Gaire Nepali,NA
Rupendehi,बाल कल्याण सामुदायिक विकास संस्था  ,Child Welfare Community Development Organization,,"Makrahar-8,Mandrahani",9847022974,,NA,,,Bed Giri,NA
Rupendehi,भिजन नेपाल ,Vision Nepal,,"Butawal-10, Srawanpath",071-547739,,ghimireyubaraj@yahoo.com,,,Yubaraj Neupane,NA
Rupendehi,लुम्बिनी सामाजिक संस्था ,Lumbini Social Organization,,"Kahariya-8, Pardeepnagar",9847023206,,dhakalsuray@yahoo.com,,,Suraj Pd. Dhakal,NA
Rupendehi,संगम बहुउद्देश्यीय विकास केन्द्र ,Sangam Multipurpose Development Centre,,Butawal-10,,,NA,,,Karna Bd. Gurung,NA
Rupendehi,लालीगुराँस युवा क्लब ,Lali Gurans Youth Club,,"Rudrapur-8, Kariya Bazar","071-690124, 9847045012",,NA,,,Tul Bd. Thapa,NA
Rupendehi,सुनगाभा सामुदायिक विकास केन्द्र ,Sungava Community Development Centre,,Rudrapur-4,9847039188,,NA,,,Gopal Bd. K. C.,NA
Rupendehi,प्रगतिशील युवा क्लब,Progressive Youth Club,,Rudrapur-4,071-690308,,NA,,,Tulasi Pd. Adhikari,NA
Rupendehi,सिर्जनशील आदर्श समाज नेपाल ,Innovative Ideal Society Nepal,,Mainahiya-5,071-621684,,NA,,,Asyodhya Tharu,NA
Rupendehi,सुनौलो विहानी समाज विकास केन्द्र ,Sunaulo Bihani Society Development Centre,,Kha- Banagain,9847024748,,NA,,,NA,NA
Rupendehi,चाँदनी नेपाल ,Chandani Nepal,,"Butawal-10, Milan Chowk",9857026223,,bhawni139@yahoo.com,,,Bhawani Pd. Pandey,NA
Rupendehi,सामाजिक विकास संस्था नेपाल ,Social Development Organization,,Butawal-9,"071-544869, 9857026540",,NA,,,Charn Das Timalsena,NA
Rupendehi,युनिक नेपाल ,Unique Nepal,,Butawal-10,9847025357,,NA,,,Sunita Gautam,NA
Rupendehi,सिद्धार्थ एकिकृत विकास समाज नेपाल,Siddhartha Integrated Development Society Nepal,,Motipur-2,9847037632,,NA,,,NA,NA
Rupendehi,सफल विकास केन्द्र नेपाल ,Success Development Centre Nepal,,Butawal-10,"071-541699, 9847026481",,NA,,,NA,NA
Rupendehi,सिद्धार्थ बाल उत्थान ,Siddhartha Child Upliftment,,"Siddharthanagar, Bhirahawa",,,NA,,,NA,NA
Rupendehi,"तराई दलित सरोकार केन्द्र, नेपाल ","Tarai Dalit Concern Centre, Nepal",,"Paschiim Aamuwa-3, Laxmanganj",9847030689,,NA,,,Buddhi Ram Harijan,NA
Rupendehi,"सबै भेदभाव विरुद्ध संयुक्त मञ्च, नृपाल",United Coolition against All Discrimination Nepal,,"Butawal-9, Siddheswor Tole",9847023955,,geepin_magon@yahoo.com,,,Gyanendra Pun,NA
Rupendehi,आस्था समाज नेपाल ,Aastha Samaj Nepal,,Paschiim Aamuwa-4,"071-691714, 9747050029",,NA,,,Ramji Pd. Sapkota,NA
Rupendehi,परोपकार सामुदायिक विकास संस्था ,Helping Community Developemnt Organization,,"Gangoliya-3,Barauliya Danda","071-621556, 9847050574",,NA,,,Prem Narayan Basyal,NA
Rupendehi,"स्वावलम्बन वातावरण एवं शैक्षिक जागरण केन्द्र, नेपाल  ","Self Reliant Environment and Education Awareness Centre, Nepal",,Butawal-10,,,NA,,,NA,NA
Rupendehi,तराई विकास मञ्च ,Tarai Development Forum,,Darkhasawa-3,NA,,NA,,,NA,NA
Rupendehi,बाँसगढी बजार व्यवस्थापन समिति ,Basgadhi Social Development Centre,,Dudharaksh-5,NA,,NA,,,NA,NA
Rupendehi,साकार समूह नेपाल,Sakar Group Nepal,,"Siddharthanagar-8, Lumbini Road",NA,,NA,,,NA,NA
Rupendehi,महिला सरोकार केन्द्र ,Women Concern Centre,,Butawal-10 Sukhkhanagar,NA,,NA,,,NA,NA
Rupendehi,परिवर्तन नेपाल ,Changing Nepal,,"Butawal-5, Namuna Nagar",071-549581,,bikrambh99@yahoo.com,,,NA,NA
Rupendehi,उज्यालो नेपाल ,Bright Nepal,,"Siddharthanagar-8, Basdilawa",9806937802,,govinda_dhawal@yahoo.com,,,Govinda Dhawal,NA
Rupendehi,मद्रहनी सामुदायिक विकास केन्द्र ,Madrahani Community Development Centre,,Makrahar-6,NA,,NA,,,NA,NA
Rupendehi,सिद्धार्थ सामुदायिक समाज  ,Siddhartha Community Society,,"Siddharthanagar-9, Namunapath","984703089, 071-622563",,NA,,,Mina Thapa,NA
Rupendehi,न्यू बुद्ध स्टार युवा क्लव ,New Buddha Star Youth Club,,"Dudharaksh-3, Buddhanagar","071-690212, 9847316372",,NA,,,Humnatha Pokharel,NA
Rupendehi,रुपन्देही शैक्षिक तथा सामाजिक प्रतिष्ठान नेपाल  ,Rupendehi Education and Social Trust,,NA,9847341633,,NA,,,K. B. Gurung,NA
Rupendehi,अभियान नेपाल ,Campaign Nepal,,NA,,,NA,,,NA,NA
Rupendehi,ब्वेएट फर केयर एण्ड सपोर्ट ,Be wait for Care and Support,,NA,,,NA,,,NA,NA
Rupendehi,न्यू दुर्गा नगर विकास समिति ,New Durga City Development Committee,,NA,9847044118,,NA,,,Tara Bd. Kunwar,NA
Rupendehi,मणिमुकुन्द सेन उद्यान संरक्षण समिति  ,Mani Mukunda Sen Garden Protection Committee,,NA,71544041,,NA,,,Moti Raj Gyawali,NA
Rupendehi,सामाजिक परिवर्तनका लागि सामाजिक संस्था नेपाल ,Social Organizaion Nepal for  Social Change,,NA,9847024823,,NA,,,Mahendra Giri,NA
Rupendehi,देवशिद्ध सुधार समिति ,Devshiddha Improvement Committee,,NA,9847027900,,NA,,,Chandi Pd. Neupane,NA
Rupendehi,भु.पु. सैनिक कल्याण क्लव ,Ex Military Welfare Club,,NA,71544261,,NA,,,Manbir Garbuja Magar,NA
Rupendehi,शिवालय युवा क्लव ,Shivalaya Youth Club,,NA,9757000779,,NA,,,Utsab Neupane,NA
Rupendehi,नेपाल अविनाश सामाजिक सेवा संस्था ,Nepal Aabinas Social Service Organization,,NA,9847050408,,NA,,,Ramesh Thapa,NA
Rupendehi,थारु सामाजिक विकास तथा संस्कृति उत्थान संस्था  ,Tharu Social Development and Cultural Upliftment Organization,,NA,9847033614,,NA,,,Raju Chaudhary,NA
Rupendehi,ग्रामीण जनजागरण विकास कार्यक्रम ,Rural Public Awareness Development Program,,NA,,,NA,,,Tej Bd. Nepali,NA
Syanja,अन्धा अन्धि सामुदायिक विकास केन्द्र,Andha Andhi Community Development Centre,,Chilaunu-4,063-420360,,bis.npo@yahoo.com,,9856050180,Bishwa Poudel,"drinking water, "
Syanja,विकासशील समाजको लागि वातावरण संरक्षण,Development Society for Environment Conservation,,Putalibazar-6 Syangja,063-420672,,bibas@yahoo.com,,9846080382,Ramchandra Sharma,"drinking water, health, education"
Syanja,आपसी सहयोग केन्द्र,Apasi Sahayog Kendra,,"Deaurali-9 ,Syangja",063-420692,,ask_syangja@yahoo.com,,9846039172,Rukumdatta Sharma Poudel,
Syanja,सामुदायिक विकास स्रोत केन्द्र ,Community Development Resource Centre,,"Bhatkhola-7,Parikabari",063-420479,,NA,,9746004164,NA,NA
Syanja,सुर्योदय क्लव,Suryodaya Club,,"Putalibazar-4, Syangja",063-420050,,info@suryodaya.org.np,,9856029713,Ananta Kumar Shrestha,"arriculture, health, education"
Syanja,गैरसरकारी सामाजिक संस्था जिल्ला समन्वय समिति,NGO Social Organization District Coordination Committee,,"Putalibazar-1, Narayansthan",063-420692,,NA,,9846039172,Rukumdatta Sharma,NA
Syanja,पिछडिएको समुदाय विकास मञ्च ,Forum For The Development Of The Backward Community ,,"Putalibazar-1, ",NA,,NA,,9846072721,Dhanmaya B.K.,NA
Syanja,नवदिप युवा क्लव ,Nawa Deep Youth Club,,"Thuladihi-9, Dhab",NA,,NA,,9746003466,Nabin Aale,NA
Syanja,जनएकता युवा परिवार ,Jana Ekta Yowa Parewar,,Dhapak simal Bhanjyan-4,NA,,NA,,NA,Indra Kumar Gurung,NA
Syanja,जिल्ला कफि व्यवसाय संघ,District Coffee producers Association,,"Putalibazar-1, Abhiyanpatha",NA,,NA,,NA,Phani Narayan Aryal,NA
