Year,District,Region,Sector,NGOs Name
2055,Kathmandu,"Central
Region","Environmental
Protection","Shikshyaa Tatha Watawarana Wikas
Samuh"
2052,Kathmandu,"Central
Region","Environmental
Protection",Shouchalaya Wyabasthapan Samuh
2055,Kathmandu,"Central
Region","Environmental
Protection",Shram Batabarana Bikas Samaj
2063,Kaski,"Western
Region","Environmental
Protection",Shree  Green World
2052,Kaski,"Western
Region","Environmental
Protection","Shree  Watawarana Tatha Samaj
Sudhar Samiti"
2064,Kathmandu,"Central
Region","Environmental
Protection","Shree Aharnisha Aryan Batabaran
Tatha Bikas Kendra"
2056,Rupandehi,"Western
Region","Environmental
Protection","Shree Awas Tatha Batabaran
Sarokar Samuh Nepal"
2058,Kaski,"Western
Region","Environmental
Protection","Shree Batabaraiya Sanrakshyana
Manch"
2056,Lalitpur,"Central
Region","Environmental
Protection","Shree Batabaran  Sudhar Yuwa
Samuh"
2056,Banke,"Mid Western
Region","Environmental
Protection","Shree Batabaran  Tatha Gramin
Bikas Kendra"
2056,Nawalparasi,"Western
Region","Environmental
Protection",Shree Batabaran Bachau Abhiyan
2063,Baitadi,"Far Western
Region","Environmental
Protection","Shree Batabaran Saranchhan Tatha
Samudayik Bikas"
2058,Sunsari,"Eastern
Region","Environmental
Protection","Shree Batawarana Tatha Samajik
Bikas Samuh Nepal"
2055,Kathmandu,"Central
Region","Environmental
Protection","Shree Dayashwar Mahadab
Boudhhik Sanatan Dharm Sewa
Samaj"
2053,Kaski,"Western
Region","Environmental
Protection",Shree Ekikrit Sewa
2056,Bara,"Central
Region","Environmental
Protection","Shree Gramin  Batabaran
Sanrakshyana Manch"
2053,Dolakha,"Central
Region","Environmental
Protection","Shree Gramina Bikas Tatha
Batabarana Sanrakshyan Sasntha"
2063,Chitawan,"Central
Region","Environmental
Protection","Shree Gyaneshwar Watawarana
Tatha Shaikshik Wikas Samaj"
2056,Sunsari,"Eastern
Region","Environmental
Protection","Shree Jan Jagriti Tatha Watawarana
Sanrakshyana Samuh"
2061,Rautahat,"Central
Region","Environmental
Protection","Shree Janakalyana Tatha
Batabarana Sanrakshyana Nepal"
2056,Makwanpur,"Central
Region","Environmental
Protection","Shree Janasankhyaa Batabaran
Tatha Shikshyaa Wikas Samaj Nep"
2055,Saptari,"Eastern
Region","Environmental
Protection","Shree Mahila Batabaran Tatha
Gramin Bikas Sasntha"
2053,Dhanusha,"Central
Region","Environmental
Protection","Shree Manaw Kalyana Tatha
Watawarana Sanrakshyana Sasntha"
2057,Banke,"Mid Western
Region","Environmental
Protection","Shree Meri Batabaran  Bishishatata
Samuh"
2056,Makwanpur,"Central
Region","Environmental
Protection","Shree Paryabarana Chetana Tatha
Surakshyaa Kendra"
2052,Kaski,"Western
Region","Environmental
Protection","Shree Pradushana Niyantrana Yuwa
Club"
2052,Rupandehi,"Western
Region","Environmental
Protection","Shree Rastriya Paryawarana Tatha
Sanskriti Sanrakshyana Man"
2058,Parsa,"Central
Region","Environmental
Protection","Shree Samajik Abm Batabaraniya
Bikas Sanstha"
,Dolakha,"Central
Region","Environmental
Protection","Shree Samajik Batabaran Kanun
Tatha Manaw Adhikar Manch"
2054,Dolakha,"Central
Region","Environmental
Protection","Shree Samudayik Batabarana
Shikshyaa Tatha Janachetana Wikas"
2053,Bardiya,"Mid Western
Region","Environmental
Protection","Shree Sthaniya Janajiwan Tatha
Batabarana Wikas Kendra"
2055,Dhanusha,"Central
Region","Environmental
Protection","Shree Watawarana Sanrakshyana
Manch"
2053,Dolakha,"Central
Region","Environmental
Protection","Shree Watawarana Sanrakshyana
Ra Gramina Wikas Sangathan"
2061,Lalitpur,"Central
Region","Environmental
Protection","Shrijanashil Batabaran
Sanrakshyana Kendra"
2064,Lamjung,"Western
Region","Environmental
Protection","Sidhha Karmada Batabaran Sudhar
Samaj"
2064,Sarlahi,"Central
Region","Environmental
Protection","Sidhhartha Goutam Janachetana
Bikas Tatha Batabaran
Samrakchhan Sangh"
,Sindhuli,"Central
Region","Environmental
Protection","Sindhuli Batabarana Sanrakshyana
Wikas Nepal"
2053,Siraha,"Eastern
Region","Environmental
Protection","Siraha Samudayik Bikas Tatha
Watawarana Sanrakshyana Manch"
2055,Kathmandu,"Central
Region","Environmental
Protection","Sirikajang Batabarana Sudhar Tatha
Kalyana Samiti"
2056,Kathmandu,"Central
Region","Environmental
Protection","Snskritik Tatha Bhoutik Batabaran
Prarbadhhan Samaj Nepal"
2056,Kaski,"Western
Region","Environmental
Protection","Socaity of Turism and Inveronment
Protection"
2064,Kathmandu,"Central
Region","Environmental
Protection","Society For Ecological Systonation
Nepal"
2057,Kathmandu,"Central
Region","Environmental
Protection","South Asia On Tread Economics
And Environment"
2056,Kathmandu,"Central
Region","Environmental
Protection","South Asian Foundationn For
Environment Nepal"
2057,Kathmandu,"Central
Region","Environmental
Protection","Srijanashila Gramin Bikas Tatha
Batabarana Sangathan"
2051,Kathmandu,"Central
Region","Environmental
Protection","Srota Tatha Paryabaran Samrachan
Sangh"
2055,Kalikot,"Mid Western
Region","Environmental
Protection","Sthaniya Prakritik Sampada
Sanrakshyana Kendra"
2053,Lalitpur,"Central
Region","Environmental
Protection","Sthaniya Samaj Tatha Batabarana
Sarwadhan Kend"
2052,Kathmandu,"Central
Region","Environmental
Protection","Sthaniya Watawarana Tatha Krishi
Bikas Samaj Nepal"
2063,Doti,"Far Western
Region","Environmental
Protection","Sudur Pashchim Batabaran Bikas
Samaj"
2058,Doti,"Far Western
Region","Environmental
Protection","Sudur Pashchimachal Samudayik
Ban Upabhoktta Sangh"
2063,Kaski,"Western
Region","Environmental
Protection","Suikhet Khola Niyantrana
Upabhoktta Samiti"
2064,Kathmandu,"Central
Region","Environmental
Protection","Surchhit Batavaraniya Durdarsita
Nepal"
2060,Chitawan,"Central
Region","Environmental
Protection","Suryedaya Batabaran Sudhar Tatha
Bikas Kendra Nepal"
2063,Nawalparasi,"Western
Region","Environmental
Protection","Susta Bachau Abhiyan Nawalaparasi
Nepal"
2050,Kathmandu,"Central
Region","Environmental
Protection","Swacha Pani Tatha Batabaran
Samuh SAMUHA"
2051,Kathmandu,"Central
Region","Environmental
Protection",Swacha Safa Hawa Pani Paun
2058,Kathmandu,"Central
Region","Environmental
Protection",Swachcha Batabaran Abhiyan
2060,Kaski,"Western
Region","Environmental
Protection",Swachchh Batabaran Samaj
2061,Achham,"Far Western
Region","Environmental
Protection","Swachchh Batabarana Tatha Manaw
Bikas Manch"
2056,Rupandehi,"Western
Region","Environmental
Protection","Swachchh Gramin  Batabaran
Samaj"
,Mahottari,"Central
Region","Environmental
Protection",Swachchh Watawarana Bikas Manch
2063,Bajura,"Far Western
Region","Environmental
Protection","Swachha Batabaran tatha Sthaniya
Shram Sangathan (Hello Bajura)"
2051,Rupandehi,"Western
Region","Environmental
Protection","Swalmban Batabaran Abm Saichik
Jagran Kendra"
20########,Kathmandu,"Central
Region","Environmental
Protection","Swashtya tatha Batabarniya Jivan
Saranchhan Samaj Nepal"
2054,Kathmandu,"Central
Region","Environmental
Protection","Swasth Shikshyaa Tatha Batabarana
Wikas Samaj"
2065,Banke,"Mid Western
Region","Environmental
Protection","Swasthya Batabaran Tatha Adhikar
Kendra"
2063,Siraha,"Eastern
Region","Environmental
Protection","Swasthya Batabaran Tatha Krishi
Bikas Karyakram Nepal"
2060,Kathmandu,"Central
Region","Environmental
Protection","Swasthya Batabaran Tatha Samaj
Bikas Nepal"
2062,Kathmandu,"Central
Region","Environmental
Protection","Swasthya Batabarana Ra
Jiwikoparjan Lagi Ban Tatha Krishi Bi"
2053,Chitawan,"Central
Region","Environmental
Protection","Swasthya Ra Watawarana Ko Lagi
Samaj"
2051,Kathmandu,"Central
Region","Environmental
Protection","SWASTHYA SEWA ANUSANDHAN
TATHA BATABARAN BIKAS SAMAJ"
2055,Kathmandu,"Central
Region","Environmental
Protection",Swasthya Tatha Batabaraiya Samaj
2058,Kathmandu,"Central
Region","Environmental
Protection","Swasthya Tatha Batabaran Bachau
Kendra"
2063,Chitawan,"Central
Region","Environmental
Protection","Swasthya Tatha Batabaran Bikas
Samaj Nepal"
2058,Bara,"Central
Region","Environmental
Protection","Swasthya Tatha Batabaran
Sanrakshyana Kendra"
2053,Kathmandu,"Central
Region","Environmental
Protection","Swasthya Tatha Watawarana
Abhiyan Nepal"
2054,Lalitpur,"Central
Region","Environmental
Protection","Swasthya Watawarana Sakshyarata
Rkayakrama,nepal"
2064,Dhading,"Central
Region","Environmental
Protection","Swasthya, Sikchhya Tatha
Batabaran Samrakchan Samaj Nepal"
20########,Kathmandu,"Central
Region","Environmental
Protection","Swaybhu Chhetra Batabaran
Saranchhan Manch"
2064,Kathmandu,"Central
Region","Environmental
Protection","Swochchha Batabaran Ra Bikasko
lagi Nabikaraniya Urja"
2066,Rupandehi,"Western
Region","Environmental
Protection","Swochchha Batabaran Tatha
Loktantrik Shanti Samaj Nepal"
2051,Kathmandu,"Central
Region","Environmental
Protection",Swochha Batabaran Bikas Manch
2060,Dhanusha,"Central
Region","Environmental
Protection",Tarai Niji Ban Bikas Sanstha
2055,Dhading,"Central
Region","Environmental
Protection","Tayus Gramin Bikas Tatha
Batabarana Sanrakshyana Manch"
2056,Saptari,"Eastern
Region","Environmental
Protection",The Green Angel Club
2049,Kathmandu,"Central
Region","Environmental
Protection","The Mount Everest Environment
Conservation Foundation"
2056,Okhaldhunga,"Eastern
Region","Environmental
Protection","The Mount Everst Inviroment
conservation Foundation"
2048,Dolpa,"Mid Western
Region","Environmental
Protection","The Narture Touch (Samajik Sewa
Club)"
2057,Dang,"Mid Western
Region","Environmental
Protection","Tulasipur Samudayik Ban Upabhotta
Samuh Samanwaya Samiti"
2063,Kathmandu,"Central
Region","Environmental
Protection","Upatyaka Taja Tarakari Tatha Falaful
Thok Byapar Byawasahi S"
2062,Kathmandu,"Central
Region","Environmental
Protection","Upayogitako Lagi Batatabaraniya
Shrotako Sanrakshyana Nepal"
2064,Tanahu,"Western
Region","Environmental
Protection",Urja tatha Batabaran Nepal
2065,Kathmandu,"Central
Region","Environmental
Protection","Urja Tatha Batabaran Patrakar
Samaj Nepal"
2057,"Sindhupalcho
k","Central
Region","Environmental
Protection",Urja Tatha Batawarana Bikas Kendra
2063,Arghakhanchi,"Western
Region","Environmental
Protection","Utpidit Samudayik Swasthya Tatha
Batabaran Sanrakshyan Mun"
20########,Dang,"Mid-Western
Region","Environmental
Protection","Vatavaran Samrakshan Ra Shantika
Lagi Suchana Nepal"
20########,Chitwan,"Central
Region","Environmental
Protection","Vatavaran Tatha Digo Krisi
Anusandhan Yebam Bikas Kendra
(SESAI)"
2060,"Sindhupalcho
k","Central
Region","Environmental
Protection",Village environment committee
2066,Kathmandu,"Central
Region","Environmental
Protection",Vishwo Harit Abhiyan Nepal
2060,Kathmandu,"Central
Region","Environmental
Protection",Wanyajantu Nigarani Samuh
2053,Bhojpur,"Eastern
Region","Environmental
Protection","Watabaran Tatha Prabidhi Bikas
Kendra"
2052,Kathmandu,"Central
Region","Environmental
Protection","Watabarana Tatha Bikas Samaj
Nepal"
2052,Kathmandu,"Central
Region","Environmental
Protection","Watawarana ,wan Anusandhan
Tatha Bikas Kendra"
,Gorkha,"Western
Region","Environmental
Protection","Watawarana Bachau Tatha
Anusandhan Kendra"
,Kathmandu,"Central
Region","Environmental
Protection","Watawarana Bachauma Mahila
Nepal"
2052,Gulmi,"Western
Region","Environmental
Protection",Watawarana Bikas Kendra
2052,Banke,"Mid Western
Region","Environmental
Protection","Watawarana Ra Bhu Sanrakshyana
Arthik Upajan"
2052,Kathmandu,"Central
Region","Environmental
Protection","Watawarana Ra Sanskriti Bachau
Abhiyan Tatha Bikas"
2053,Makwanpur,"Central
Region","Environmental
Protection","Watawarana Ra Swasthya Ko Lagi
Shikshyaa"
2052,Kathmandu,"Central
Region","Environmental
Protection","Watawarana Sanrakshyana Abhiyan
Ra Jan Chetana"
2052,Rupandehi,"Western
Region","Environmental
Protection","Watawarana Sanrakshyana Harit
Samaj Nepal"
2063,Makwanpur,"Central
Region","Environmental
Protection",Watawarana Sanrakshyana Manch
2052,Siraha,"Eastern
Region","Environmental
Protection",Watawarana Sanrakshyana Samiti
2052,Kathmandu,"Central
Region","Environmental
Protection","Watawarana Sanrakshyana
Samudayik Swasthya Tatha Jan
Sankhya"
2055,Kailali,"Far Western
Region","Environmental
Protection",Watawarana Sanrakshyana Sangh
2056,Lamjung,"Western
Region","Environmental
Protection",Watawarana Sanrakshyana Sasntha
,Kavre,"Central
Region","Environmental
Protection","Watawarana Sanrakshyana Tatha
Gram Utthan Samaj"
,Nuwakot,"Central
Region","Environmental
Protection","Watawarana Sanrakshyana Tatha
Gramina Bikas Samaj"
2053,Bardiya,"Mid Western
Region","Environmental
Protection","Watawarana Sanrakshyana Tatha
Gramina Chetana Abhiwridhhi Sa"
2053,Saptari,"Eastern
Region","Environmental
Protection","Watawarana Sanrakshyana Tatha
Mahila Wikas Sasntha"
2054,Kathmandu,"Central
Region","Environmental
Protection","Watawarana Sanrakshyana Tatha
Samudayik Wikas Kendra"
2055,Kathmandu,"Central
Region","Environmental
Protection","Watawarana Sanrakshyana Tatha
Samudayik Wikas Sangh"
2053,Okhaldhunga,"Eastern
Region","Environmental
Protection","Watawarana Sanrakshyana Tatha
Wikas Kendra"
2063,Kailali,"Far Western
Region","Environmental
Protection","Watawarana Sanrakshyana Tatha
Wikashil Samaj Nepal"
2052,Kathmandu,"Central
Region","Environmental
Protection","Watawarana Sanrakshyanaka Lagi
Yuwa Samaj Nepal"
2053,Nawalparasi,"Western
Region","Environmental
Protection","Watawarana Sanrakshyna Tatha
Gariwi Niwarana Manch"
2063,Kathmandu,"Central
Region","Environmental
Protection","Watawarana Sip Abhiwridhhi Tatha
Swasthya Jagarana Samaj Nep"
2054,Kathmandu,"Central
Region","Environmental
Protection",Watawarana Sudhar Kendra
2053,Surkhet,"Mid Western
Region","Environmental
Protection",Watawarana Sudhar Samaj
2052,Kathmandu,"Central
Region","Environmental
Protection","Watawarana Tatha Ayamulak
Sanstha Nepal"
2055,Kathmandu,"Central
Region","Environmental
Protection","Watawarana Tatha Bal Bachau
Sanstha"
2055,Nawalparasi,"Western
Region","Environmental
Protection","Watawarana Tatha Gramina Wikas
Kendra"
2052,Kathmandu,"Central
Region","Environmental
Protection","Watawarana Tatha Jan Swasthya
Parishad"
,Kathmandu,"Central
Region","Environmental
Protection","Watawarana Tatha Mahila Ship
Wikas Samudayik Sasntha"
2053,Dhanusha,"Central
Region","Environmental
Protection","Watawarana Tatha Rashatraya
Wikas Samaj"
2053,Kanchanpur,"Far Western
Region","Environmental
Protection","Watawarana Tatha Samaj Utthan
Manch"
2052,Kathmandu,"Central
Region","Environmental
Protection","Watawarana Tatha Samudayik
Wikas Yuwa Abhiyan"
2056,Kathmandu,"Central
Region","Environmental
Protection","Watawarana Tatha Shrot
Wyawasthapan Kendra"
2053,Lalitpur,"Central
Region","Environmental
Protection","Watawarana Tatha Wikas Ko Lagi
Yuwa Club"
2053,Chitawan,"Central
Region","Environmental
Protection","Watawarana Tatha Wikas Sarokar
Samaj Nepal"
2053,Kathmandu,"Central
Region","Environmental
Protection","Watawarana Wyawsthapan Tatha
Gariw Niwarana Sasntha"
2054,Kathmandu,"Central
Region","Environmental
Protection","Watawaraniya Jan Sankhyaa Tatha
Pichhadieko Samudayama Sache"
2052,Kathmandu,"Central
Region","Environmental
Protection","Watawaraniya Paryatan Sahayog
Samuh"
2063,Kathmandu,"Central
Region","Environmental
Protection","Watawaraniya Samajik Arthik Wikas
Nepal"
,Kathmandu,"Central
Region","Environmental
Protection","Watawaraniya Sanrakshyana Tatha
Krishi Ban Kendra"
2054,Kathmandu,"Central
Region","Environmental
Protection","Watawaraniya Sanrakshyana Tatha
Samajik Sodh Kendra"
2053,Kathmandu,"Central
Region","Environmental
Protection","Watawaraniya Sanrakshyanako Lagi
Samaj"
2063,Kaski,"Western
Region","Environmental
Protection","Watawaraniya Shikshyaa Taga
Anusandhatran Kendra Nepal Nipar"
2053,Chitawan,"Central
Region","Environmental
Protection","Watawaraniya Shikshyaa Tatha Jan
Chetana Wikas Kendra"
2053,Kathmandu,"Central
Region","Environmental
Protection","Watawaraniya Shikshyako Lagi
Rsijanashil Samuh"
2053,Kathmandu,"Central
Region","Environmental
Protection","Watawaraniya Tatha Manawiya Shrot
Wikas Kendra"
2053,Nawalparasi,"Western
Region","Environmental
Protection",Watawaraniya Wikas Kendra
2053,Kaski,"Western
Region","Environmental
Protection","Watawawarana Sanrakshyana Tatha
Jan Jagarana Manch"
2053,Kathmandu,"Central
Region","Environmental
Protection",World Conservation Nepal
2052,Kathmandu,"Central
Region","Environmental
Protection","YOUWA HARITA SAMUHA
NEOPAL"
2051,Kathmandu,"Central
Region","Environmental
Protection",Yuwa Batabaran Samuha Nepal
2054,Kathmandu,"Central
Region","Environmental
Protection","Yuwa Batabarana Sanrakshyana
Sangh"
20########,Kathmandu,"Central
Region","Environmental
Protection","Swasthya Vatavaran Janachetana
Tatha Anusandhan Samuha Nepal"
20########,Kathmandu,"Central
Region","Environmental
Protection",Phohar Maila Concern
20########,Kathmandu,"Central
Region","Environmental
Protection",Prakritiko Digo Upayog
20########,Makwanpur,"Central
Region","Environmental
Protection",Vatavaran Samrakshan Nepal
20########,Kathmandu,"Central
Region","Environmental
Protection","Vatavaran Vyavasthapan Tatha
Anusandhan Sanstha"
20########,Kathmandu,"Central
Region","Environmental
Protection","Vanjanya Srot Tatha Vatavaran
Samrakshan Abhiyan Nepal"
20########,Kathmandu,"Central
Region","Environmental
Protection",Nepal Panchivid Sangh
20########,Lalitpur,"Central
Region","Environmental
Protection",Swoccha Vatavaran Bikas Manch
20########,Kathmandu,"Central
Region","Environmental
Protection",Eco Friends Nepal
20########,Kathmandu,"Central
Region","Environmental
Protection","Sukshma Jiv Vigyan Anusandhan
Sayunkta Toli"
20########,Kathmandu,"Central
Region","Environmental
Protection",Prakritik Srot Vyavasthan Sangh
20########,Kathmandu,"Central
Region","Environmental
Protection",Global Green Mission
20########,Surkhet,"Mid-Western
Region","Environmental
Protection",Vatavaran Samrakshan Manch
20########,Sarlahi,"Central
Region","Environmental
Protection","Bhim Nadi Niyantran Tatha
Samrakshan Sanstha"
20########,Dang,"Mid-Western
Region","Environmental
Protection",Jaivik Vividhata Samrakshan Manch
2066,Kailali,"Far Western
Region","Environmental
Protection","Ban Batabaran Tatha Jaibik
Bibidhata Samrachhan Manch Nepal"
2065,Lalitpur,"Central
Region","Environmental
Protection","Ban Paidawar Udhhyog Byabasayi
Sangh"
2066,Dang,"Mid Western
Region","Environmental
Protection","Ban Tatha Batabaran Samrachhan
Samanbaya  Samiti"
2066,Banke,"Mid Western
Region","Environmental
Protection","Ban Tatha Batabaran Samrachhan
Samanbaya  Samiti"
2065,Nawalparasi,"Western
Region","Environmental
Protection","Ban Tatha Batabaranma Yuwako
Sahabhagita Sangh"
2066,Kailali,"Far Western
Region","Environmental
Protection","Basanta Ban Chhetra Samudayik
Ban Upabhokta Samuha Samanbaya
Samiti"
2065,Bhaktapur,"Central
Region","Environmental
Protection","Batabaran Byabasthapan Tatha Digo
Bikas Manch"
2065,Kanchanpur,"Far Western
Region","Environmental
Protection",Batabaran Samrachhan Samaj
2065,Dang,"Mid Western
Region","Environmental
Protection","Batabaran Samrachhan Tatha Jana
Jagaran Kendra"
2065,Kathmandu,"Central
Region","Environmental
Protection","Batabaran Sarsafai Tatha Swasthya
Sanstha"
2065,Kathmandu,"Central
Region","Environmental
Protection","Batabaran Tatha Bikaska Lagi
Netritwo Nepal"
2065,Bara,"Central
Region","Environmental
Protection","Batabaran Tatha Garib Samudaya
Uthhan Kendra"
2065,Lalitpur,"Central
Region","Environmental
Protection","Batabaran Tatha Samajko Lagi
Jagaruk Yuwa"
2065,Kathmandu,"Central
Region","Environmental
Protection","Batabaran Tatha Samudayik Bikas
Nepal"
2066,Kathmandu,"Central
Region","Environmental
Protection","Batabaran Urja Tatha Jala
Anusandhan Kendra"
2065,Makwanpur,"Central
Region","Environmental
Protection","Batabaraniya Karya Sanskriti Tatha
Sichhyaka Lagi Sahabhagita Nepal"
2065,Kathmandu,"Central
Region","Environmental
Protection","Batabaraniya Sachetana Jagaran
Nepal"
2065,Makwanpur,"Central
Region","Environmental
Protection",Batabaraniya Samrakchhan Abhiyan
2066,Kailali,"Far Western
Region","Environmental
Protection","Bhajani Rangeposter Stariya
Samudayik Ban Upabhokta Samuha
Samanbaya Samiti"
2065,Nawalparasi,"Western
Region","Environmental
Protection","Bikas Tatha Batabaran Samrachhan
Kendra Nepal"
2066,Dang,"Mid Western
Region","Environmental
Protection","Byabasthit Basti Bikas Tatha
Batabaran Samrachhan Abhiyan"
2066,Myagdi,"Western
Region","Environmental
Protection","Dhoulagiri Jalashrot Paryatan Prakriti
Samrachhan Ebam Shrot Byabasthapan Board Myagdi Nepal (Awar Netkod)"
2066,Rautahat,"Central
Region","Environmental
Protection","Digo Krishi Bikas Tatha Batabaran
Sanstha Kendra"
2066,Kathmandu,"Central
Region","Environmental
Protection",Eco Himal Nepal
2066,Kathmandu,"Central
Region","Environmental
Protection",Gau Batabaran Nepal
2065,Rasuwa,"Central
Region","Environmental
Protection","Ghar Bhitrako Dhuwa Nibaran Tatha
Batabaran Samrachhan Manch
Nepal"
2065,Dhanusha,"Central
Region","Environmental
Protection","Gramin Batabaran Bikas Tatha
Anusandhan Kendra"
2065,Saptari,"Eastern
Region","Environmental
Protection","Gramin Batabaran Bikas Tatha
Garibi Unmulan Sanstha Nepal"
2066,Lalitpur,"Central
Region","Environmental
Protection","Gramin Batabaraniya Digo Krishi
Bikas Sanstha Nepal"
2065,Kailali,"Far Western
Region","Environmental
Protection","Gramin Bikas Tatha Batabaran
Samrakchhan Kendra"
2065,Dhankutta,"Eastern
Region","Environmental
Protection","Gramin Digopanka Lagi
Batabaraniya Samrakchhan Ra
Paryatan Prabardhan Samuha Nepal"
2065,Mugu,"Mid Western
Region","Environmental
Protection","Gramin Sarbangin Bikas Tatha
Batabaran Samrachhan Kendra"
2065,Sarlahi,"Central
Region","Environmental
Protection",Gramin Sarsafai Sewa Samaj
2066,Nawalparasi,"Western
Region","Environmental
Protection","Jaibik Bibidhata Anusandhan Tatha
Prakritik Shrot Byabasthapan Samiti"
2065,Kathmandu,"Central
Region","Environmental
Protection","Jaibik Bibidhata Anusandhan Tatha
Samrachhan Samaj Nepal"
2065,Lalitpur,"Central
Region","Environmental
Protection","Jaibik Bibidhata Samrachhan Samaj
Nepal"
2065,Kathmandu,"Central
Region","Environmental
Protection","Jibandhara Urja Tatha Batabaranka
Lagi Karya Nepal"
2065,Saptari,"Eastern
Region","Environmental
Protection",Jibanka Lagi Batabaran
2065,Kanchanpur,"Far Western
Region","Environmental
Protection","Kanchan Digo Batabaran
Samrachhan Kendra"
2066,Bardiya,"Mid Western
Region","Environmental
Protection","Khata Samudayik Ban Samanbaya
Samiti"
2065,Sunsari,"Eastern
Region","Environmental
Protection","Krishi Sudhar Tatha Batabaran Bikas
Kendra (Sewa)"
2065,Sarlahi,"Central
Region","Environmental
Protection","Mahendra Janachetana Bikas Tatha
Batabaran Samrachhan Sangh"
2065,Lalitpur,"Central
Region","Environmental
Protection","Manab Batabaran Tatha Saichhik
Bikas Samaj Nepal"
2065,Kathmandu,"Central
Region","Environmental
Protection","Manab Chhyamata Abhibridhhi Tatha
Batabaraniya Samrachhan Kendra"
2066,kailali,"Far Western
Region","Environmental
Protection","Manaw Adhikar Tatha Batabaran
Samrachhan Samaj"
2065,Sarlahi,"Central
Region","Environmental
Protection","Manaw Bikas Tatha Batabaran
Samrachhan Kendra Nepal"
2065,Dhanusha,"Central
Region","Environmental
Protection",National Society Of Science
2066,Kathmandu,"Central
Region","Environmental
Protection","Naya Nepal Batabaran Samrachhan
Manch"
2066,Kailali,"Far Western
Region","Environmental
Protection","Nepal Prakritik Sampada
Samrachhan Tatha Bikas Samaj"
2065,Makwanpur,"Central
Region","Environmental
Protection",Paryabaran Nepal
2065,Rukum,"Mid Western
Region","Environmental
Protection",Prakop Byabasthapan Kendra
2066,Kathmandu,"Central
Region","Environmental
Protection","Prakriti Tatha Jaibik Bibidhata
Samrachhan Anusandhan Kendra"
2065,Parbat,"Western
Region","Environmental
Protection","Prakritik Sampada Samrachhan
Sanstha"
2065,Kaski,"Western
Region","Environmental
Protection","Prakritik Shrot Anusandhan Tatha
Samrachhan Kendra"
2066,Jhapa,"Eastern
Region","Environmental
Protection","Purbi Batabaran Samrachhan Tatha
Pradushan Niyantran Sanstha"
2065,Kathmandu,"Central
Region","Environmental
Protection","Rastriya Batabaran Samrakchhan
Karyakram  Nepal"
2065,Bara,"Central
Region","Environmental
Protection","Rastriya Batabaran Samrakchhan
Tatha Digo Arthik Bikas Kendra
Nepal"
2065,Kathmandu,"Central
Region","Environmental
Protection","Rastriya Sanskriti Prakriti
Samrakchhan Kendra Nepal"
2065,Kalikot,"Mid Western
Region","Environmental
Protection","Rurubanchu Paryatan Tatha
Batabaran Samrachhan Kendra"
2065,Kathmandu,"Central
Region","Environmental
Protection",Safe Environment Nepal
2066,Saptari,"Eastern
Region","Environmental
Protection","Samaj Sudhar Tatha Batabaran
Bikas Nepal"
2065,Kathmandu,"Central
Region","Environmental
Protection","Samajik Arthik Tatha Batabaraniya
Sarokar Manch"
2065,Kathmandu,"Central
Region","Environmental
Protection","Samajik Bikas Batabaran Tatha
Swasthyaka Lagi Samata Ra
Shasaktikaran"
2065,Bhaktapur,"Central
Region","Environmental
Protection","Samajik Bikas Tatha Batabaran
Samrachhan Kendra"
2065,Kanchanpur,"Far Western
Region","Environmental
Protection","Samajik Paryabaran Kalyan Sangh
(SEWA)"
2066,Kathmandu,"Central
Region","Environmental
Protection","Samajik Tatha Batabaraniya
Sambadhha Sanstha"
2065,Kanchanpur,"Far Western
Region","Environmental
Protection","Samrachhit Batabaran Ra
Samudayik Sichhya"
2065,Kailali,"Far Western
Region","Environmental
Protection",Samudayik Ban Samanbaya Samiti
2066,Palpa,"Western
Region","Environmental
Protection",Samudayik Ban Samanbaya Samiti
2066,Banke,"Mid Western
Region","Environmental
Protection","Samudayik Ban Tatha Batabaran
Samrachhan Samanbaya Samiti"
2065,Kathmandu,"Central
Region","Environmental
Protection","Srijanashil Tatha Batabaraniya
Samaj Nepal"
2065,Kathmandu,"Central
Region","Environmental
Protection",Urja Tatha Batabaran Kendra Nepal
2067,Panchathar,"Eastern
Region","Environmental
Protection",Simsar Samrakshan Bikas Sanstha
2067,Jhapa,"Eastern
Region","Environmental
Protection",Prakriti Samrakshan Samaj
2067,Kathmandu,"Central
Region","Environmental
Protection",Friends Of Save The Himalayas
2067,Kathmandu,"Central
Region","Environmental
Protection",Shant Nepal Vatavaran Samaj
2067,Kathmandu,"Central
Region","Environmental
Protection",Himalayan Energy And Agro Nepal
2067,Mugu,"Mid-Western
Region","Environmental
Protection","Swasthya Sarsaphai Tatha
Vatavaran Samrakshan Abhiyan"
2067,Kathmandu,"Central
Region","Environmental
Protection",Save The Animal Nepal
2067,Kathmandu,"Central
Region","Environmental
Protection",Hariyo Prithvi Nepal
2067,Rupandehi,"Western
Region","Environmental
Protection",Nepal Vatavaran Patrakar Sangh
2067,Dang,"Mid-Western
Region","Environmental
Protection","Phohar Maila Vyavasthapan Tatha
Srot Parichalan Kendra"
2066,Siraha,"Eastern
Region","Environmental
Protection",Vatavaran Samudayik Utthan Kendra
2067,Kathmandu,"Central
Region","Environmental
Protection","Sana Estandhari Prani Samrakshan
Tatha Anusandhan Foundation"
2067,Dhading,"Central
Region","Environmental
Protection","Navikaraniya Urja Tatha Vatavaran
Samrakshan Kendra"
